index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
0,S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
1,M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
2,L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
3,XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
4,2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
5,3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
6,S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
7,M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
8,L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
9,XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
10,2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
11,3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
12,S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
13,M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
14,L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
15,XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
16,2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
17,3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
18,S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
19,M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
20,L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
21,XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
22,2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
23,3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
24,S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
25,M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
26,L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
27,XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
28,2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
29,3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
30,S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
31,M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
32,L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
33,XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
34,2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
35,3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
36,S,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
37,M,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
38,L,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
39,XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
40,2XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
41,3XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
42,S,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
43,M,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
44,L,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
45,XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
46,2XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
47,3XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
48,S,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
49,M,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
50,L,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
51,XL,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
52,2XL,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
53,3XL,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
54,S,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
55,M,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
56,L,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
57,XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
58,2XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
59,3XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
60,S,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
61,M,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
62,L,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
63,XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
64,2XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
65,3XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
66,S,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
67,M,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
68,L,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
69,XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
70,2XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
71,3XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
72,S,Colors-8,Kurta,0.3,438,1895,254,1895,1895,1895,1895,1895,1895,1895,1895
73,M,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
74,L,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
75,XL,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
76,2XL,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
77,3XL,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
78,S,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
79,M,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
80,L,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
81,XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
82,2XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
83,3XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
84,S,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
85,M,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
86,L,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
87,XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
88,2XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
89,3XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
90,S,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
91,M,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
92,L,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
93,XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
94,2XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
95,3XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
96,S,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
97,M,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
98,L,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
99,XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
100,2XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
101,3XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
102,S,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
103,M,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
104,L,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
105,XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
106,2XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
107,3XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
108,S,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
109,M,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
110,L,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
111,XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
112,2XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
113,3XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
114,S,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
115,M,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
116,L,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
117,XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
118,2XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
119,3XL,Breeze-4,Kurta,0.3,505,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
120,S,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
121,M,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
122,L,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
123,XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
124,2XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
125,3XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
126,S,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
127,M,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
128,L,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
129,XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
130,2XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
131,3XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
132,S,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
133,M,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
134,L,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
135,XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
136,2XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
137,3XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
138,S,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
139,M,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
140,L,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
141,XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
142,2XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
143,3XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
144,S,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
145,M,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
146,L,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
147,XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
148,2XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
149,3XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
150,S,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
151,M,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
152,L,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
153,XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
154,2XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
155,3XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
156,S,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
157,M,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
158,L,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
159,XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
160,2XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
161,3XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
162,S,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
163,M,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
164,L,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
165,XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
166,2XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
167,3XL,Rozana,Kurta Set,0.4,590,2378,2495,2495,2495,2495,2495,2495,2495,2495,2495
168,S,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
169,M,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
170,L,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
171,XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
172,2XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
173,3XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
174,S,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
175,M,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
176,L,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
177,XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
178,2XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
179,3XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
180,S,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
181,M,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
182,L,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
183,XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
184,2XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
185,3XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
186,S,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
187,M,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
188,L,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
189,XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
190,2XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
191,3XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
192,S,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
193,M,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
194,L,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
195,XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
196,2XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
197,3XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
198,S,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
199,M,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
200,L,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
201,XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
202,2XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
203,3XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
204,S,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
205,M,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
206,L,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
207,XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
208,2XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
209,3XL,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
210,S,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
211,M,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
212,L,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
213,XL,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
214,2XL,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
215,3XL,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
216,S,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
217,M,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
218,L,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
219,XL,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
220,2XL,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
221,3XL,Mix,Kurta,0.3,952,3858,3995,3995,3995,3995,3995,3995,3995,3995,3995
222,S,Mix,Kurta,0.3,570,2298,2395,2395,2395,2395,2395,2395,2395,2395,2395
223,M,Mix,Kurta,0.3,570,2298,2395,2395,2395,2395,2395,2395,2395,2395,2395
224,L,Mix,Kurta,0.3,570,2298,2395,2395,2395,2395,2395,2395,2395,2395,2395
225,XL,Mix,Kurta,0.3,570,2298,2395,2395,2395,2395,2395,2395,2395,2395,2395
226,2XL,Mix,Kurta,0.3,570,2298,2395,2395,2395,2395,2395,2395,2395,2395,2395
227,3XL,Mix,Kurta,0.3,570,2298,2395,2395,2395,2395,2395,2395,2395,2395,2395
228,S,Mix,Kurta,0.3,519,2098,2195,2195,2195,2195,2195,2195,2195,2195,2195
229,M,Mix,Kurta,0.3,519,2098,2195,2195,2195,2195,2195,2195,2195,2195,2195
230,L,Mix,Kurta,0.3,519,2098,2195,2195,2195,2195,2195,2195,2195,2195,2195
231,XL,Mix,Kurta,0.3,519,2098,2195,2195,2195,2195,2195,2195,2195,2195,2195
232,2XL,Mix,Kurta,0.3,519,2098,2195,2195,2195,2195,2195,2195,2195,2195,2195
233,3XL,Mix,Kurta,0.3,519,2098,2195,2195,2195,2195,2195,2195,2195,2195,2195
234,S,Mix,Kurta,0.3,714,2878,2995,2995,2995,2995,2995,2995,2995,2995,2995
235,M,Mix,Kurta,0.3,714,2878,2995,2995,2995,2995,2995,2995,2995,2995,2995
236,L,Mix,Kurta,0.3,714,2878,2995,2995,2995,2995,2995,2995,2995,2995,2995
237,XL,Mix,Kurta,0.3,714,2878,2995,2995,2995,2995,2995,2995,2995,2995,2995
