index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
977,2XL,Mix,Kurta,0.3,540,2395,2395,2395,2695,2695,2695,2395,2395,2395,2395
978,3XL,Mix,Kurta,0.3,540,2395,2395,2395,2695,2695,2695,2395,2395,2395,2395
979,S,Mix,Kurta,0.3,550,2495,2495,2495,2795,2795,2795,2495,2495,2495,2495
980,M,Mix,Kurta,0.3,550,2495,2495,2495,2795,2795,2795,2495,2495,2495,2495
981,L,Mix,Kurta,0.3,550,2495,2495,2495,2795,2795,2795,2495,2495,2495,2495
982,XL,Mix,Kurta,0.3,550,2495,2495,2495,2795,2795,2795,2495,2495,2495,2495
983,2XL,Mix,Kurta,0.3,550,2495,2495,2495,2795,2795,2795,2495,2495,2495,2495
984,3XL,Mix,Kurta,0.3,550,2495,2495,2495,2795,2795,2795,2495,2495,2495,2495
985,XS,Mix,Tops,0.2,314,1595,1595,1595,1595,1595,1595,1595,1597,1595,1595
986,S,Mix,Tops,0.2,314,1595,1595,1595,1595,1595,1595,1595,1597,1595,1595
987,M,Mix,Tops,0.2,314,1595,1595,1595,1595,1595,1595,1595,1597,1595,1595
988,L,Mix,Tops,0.2,314,1595,1595,1595,1595,1595,1595,1595,1597,1595,1595
989,XL,Mix,Tops,0.2,314,1595,1595,1595,1595,1595,1595,1595,1597,1595,1595
990,S,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
991,M,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
992,L,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
993,XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
994,2XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
995,3XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
996,S,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
997,M,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
998,L,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
999,XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
1000,2XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
1001,3XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
1002,S,Mix,Kurta,0.3,450,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1003,M,Mix,Kurta,0.3,450,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1004,L,Mix,Kurta,0.3,450,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1005,XL,Mix,Kurta,0.3,450,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1006,2XL,Mix,Kurta,0.3,450,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1007,3XL,Mix,Kurta,0.3,450,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1008,S,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
1009,M,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
1010,L,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
1011,XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
1012,2XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
1013,3XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
1014,S,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1015,M,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1016,L,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1017,XL,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1018,2XL,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1019,3XL,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1020,S,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1021,M,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1022,L,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1023,XL,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1024,2XL,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1025,3XL,Mix,Kurta Set,0.4,790,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
1026,S,Mix,Gown,0.4,695,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1027,M,Mix,Gown,0.4,695,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1028,L,Mix,Gown,0.4,695,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1029,XL,Mix,Gown,0.4,695,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1030,2XL,Mix,Gown,0.4,695,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1031,3XL,Mix,Gown,0.4,695,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1032,S,Surmaya,Kurta Set,0.4,1295,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395
1033,M,Surmaya,Kurta Set,0.4,1295,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395
1034,L,Surmaya,Kurta Set,0.4,1295,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395
1035,XL,Surmaya,Kurta Set,0.4,1295,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395
1036,2XL,Surmaya,Kurta Set,0.4,1295,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395
1037,3XL,Surmaya,Kurta Set,0.4,1295,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395
1038,S,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1039,M,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1040,L,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1041,XL,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1042,2XL,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1043,3XL,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1044,S,Surmaya,Gown,0.4,995,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295
1045,M,Surmaya,Gown,0.4,995,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295
1046,L,Surmaya,Gown,0.4,995,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295
1047,XL,Surmaya,Gown,0.4,995,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295
1048,2XL,Surmaya,Gown,0.4,995,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295
1049,3XL,Surmaya,Gown,0.4,995,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295
1050,S,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1051,M,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1052,L,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1053,XL,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1054,2XL,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1055,3XL,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1056,S,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1057,M,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1058,L,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1059,XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1060,2XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1061,3XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1062,S,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1063,M,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1064,L,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1065,XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1066,2XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1067,3XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1068,S,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1069,M,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1070,L,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1071,XL,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1072,2XL,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1073,3XL,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1074,S,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1075,M,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1076,L,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1077,XL,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1078,2XL,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1079,3XL,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1080,S,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1081,M,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1082,L,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1083,XL,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1084,2XL,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1085,3XL,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1086,S,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1087,M,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1088,L,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1089,XL,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1090,2XL,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1091,3XL,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1092,S,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1093,M,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1094,L,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1095,XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1096,2XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1097,3XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1098,S,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1099,M,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1100,L,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1101,XL,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1102,2XL,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1103,3XL,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1116,S,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1117,M,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1118,L,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1119,XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1120,2XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1121,3XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1122,S,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1123,M,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1124,L,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1125,XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1126,2XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1127,3XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1128,S,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1129,M,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1130,L,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1131,XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1132,2XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1133,3XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1134,S,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1135,M,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1136,L,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1137,XL,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1138,2XL,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1139,3XL,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1146,S,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1147,M,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1148,L,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1149,XL,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1150,2XL,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1151,3XL,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1152,S,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1153,M,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1154,L,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1155,XL,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1156,2XL,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1157,3XL,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1158,S,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1159,M,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1160,L,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1161,XL,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1162,2XL,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1163,3XL,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1164,S,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1165,M,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1166,L,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1167,XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1168,2XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1169,3XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1170,S,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1171,M,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1172,L,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1173,XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1174,2XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1175,3XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1188,S,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1189,M,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1190,L,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1191,XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1192,2XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1193,3XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1194,S,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1195,M,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1196,L,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1197,XL,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1198,2XL,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1199,3XL,Mix,Kurta Set,0.4,640,3197,3197,3295,3295,3295,3295,3197,3197,3197,3197
1200,S,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1201,M,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1202,L,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1203,XL,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1204,2XL,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1205,3XL,Mix,Kurta,0.3,415,2095,2095,2095,2295,2295,2295,2095,2295,2095,2095
1206,S,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1207,M,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1208,L,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1209,XL,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1210,2XL,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1211,3XL,Mix,Kurta Set,0.4,625,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
1212,S,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1213,M,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1214,L,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1215,XL,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1216,2XL,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1217,3XL,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1218,S,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1219,M,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1220,L,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1221,XL,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1222,2XL,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1223,3XL,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1224,S,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1225,M,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1226,L,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1227,XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1228,2XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1229,3XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1236,M,Mix,Kurta Set,0.4,1195,5997,5997,5997,5997,5997,5997,5997,5997,5997,5997
1237,L,Mix,Kurta Set,0.4,1195,5997,5997,5997,5997,5997,5997,5997,5997,5997,5997
1238,XL,Mix,Kurta Set,0.4,1195,5997,5997,5997,5997,5997,5997,5997,5997,5997,5997
1239,2XL,Mix,Kurta Set,0.4,1195,5997,5997,5997,5997,5997,5997,5997,5997,5997,5997
1259,XS,Colors-7,Kurta,0.3,381,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
1260,XS,Mix,Kurta,0.3,570,2298,2295,2295,2295,2295,2295,2295,2295,2295,2295
1270,3XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1274,L,Mix,Kurta Set,0.4,615,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1275,M,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1299,L,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1303,3XL,Mix,Kurta Set,0.4,615,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1306,2XLL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
1307,MM,Mix,Kurta,0.3,424,2240,1695,1695,1695,1695,1695,1795,1695,1895,1695
1322,XS,Mix,Kurta,0.3,424,2240,1695,1695,1695,1695,1695,1795,1695,1895,1695
1323,XS,Mix,Kurta,0.3,467,1878,1995,1995,1995,1995,1995,1995,1995,1995,1995
1324,S,Mix,Kurta,0.3,467,1878,1995,1995,1995,1995,1995,1995,1995,1995,1995
1325,M,Mix,Kurta,0.3,467,1878,1995,1995,1995,1995,1995,1995,1995,1995,1995
1326,L,Mix,Kurta,0.3,467,1878,1995,1995,1995,1995,1995,1995,1995,1995,1995
1327,XL,Mix,Kurta,0.3,467,1878,1995,1995,1995,1995,1995,1995,1995,1995,1995
1328,2XL,Mix,Kurta,0.3,467,1878,1995,1995,1995,1995,1995,1995,1995,1995,1995
1329,3XL,Mix,Kurta,0.3,467,1878,1995,1995,1995,1995,1995,1995,1995,1995,1995
